Year,Ceremony_Number,Decade,Era,Category,Award_Group,Winner,Artist,Status,Total_Wins,Category_Total_Winners,Data_Source,Collection_Date
2013,55,2010,2010s,Record of the Year,Big Four,Somebody That I Used to Know,Gotye featuring Kimbra,Winner,1,69,Wikipedia,2026-02-08
2013,55,2010,2010s,Song of the Year,Big Four,Nate RuessJack AntonoffJeff BhaskerAndrew Dost,We Are Young,Winner,1,73,Wikipedia,2026-02-08
2012,54,2010,2010s,Album of the Year,Big Four,21,Adele,Winner,5,69,Wikipedia,2026-02-08
2012,54,2010,2010s,Best New Artist,Big Four,Bon Iver,Bon Iver,Winner,1,67,Wikipedia,2026-02-08
2012,54,2010,2010s,Best Pop Vocal Album,Genre,Adele,21,Winner,1,33,Wikipedia,2026-02-08
2012,54,2010,2010s,Record of the Year,Big Four,Rolling in the Deep,Adele,Winner,5,69,Wikipedia,2026-02-08
2012,54,2010,2010s,Song of the Year,Big Four,Adele AdkinsPaul Epworth,"Rolling in the Deep"" *",Winner,1,73,Wikipedia,2026-02-08
2011,53,2010,2010s,Album of the Year,Big Four,The Suburbs,Arcade Fire,Winner,1,69,Wikipedia,2026-02-08
2011,53,2010,2010s,Best New Artist,Big Four,Esperanza Spalding,Esperanza Spalding,Winner,1,67,Wikipedia,2026-02-08
2011,53,2010,2010s,Best Pop Vocal Album,Genre,"Lady Gaga Lady Gaga & RedOne, producers Robert Orton, RedOne & Dave Russell, engineers/mixers",The Fame Monster,Winner,1,33,Wikipedia,2026-02-08
2011,53,2010,2010s,Record of the Year,Big Four,Need You Now,Lady Antebellum,Winner,1,69,Wikipedia,2026-02-08
2011,53,2010,2010s,Song of the Year,Big Four,Dave HaywoodJosh KearCharles KelleyHillary Scott,"Need You Now"" *",Winner,1,73,Wikipedia,2026-02-08
2010,52,2010,2010s,Album of the Year,Big Four,Fearless,Taylor Swift,Winner,4,69,Wikipedia,2026-02-08
2010,52,2010,2010s,Best New Artist,Big Four,Zac Brown Band,Zac Brown Band,Winner,1,67,Wikipedia,2026-02-08
2010,52,2010,2010s,Best Pop Vocal Album,Genre,"Black Eyed Peas Dylan Dresdow & Padriac Kerin, engineers/mixers",The E.N.D.,Winner,1,33,Wikipedia,2026-02-08
2010,52,2010,2010s,Record of the Year,Big Four,Use Somebody,Kings of Leon,Winner,1,69,Wikipedia,2026-02-08
2010,52,2010,2010s,Song of the Year,Big Four,Thaddis HarrellBeyoncé KnowlesTerius NashChristopher Stewart,Single Ladies (Put a Ring on It),Winner,1,73,Wikipedia,2026-02-08
2009,51,2000,2000s,Album of the Year,Big Four,Raising Sand,Robert Plant & Alison Krauss,Winner,2,69,Wikipedia,2026-02-08
2009,51,2000,2000s,Best New Artist,Big Four,Adele,Adele,Winner,5,67,Wikipedia,2026-02-08
2009,51,2000,2000s,Best Pop Vocal Album,Genre,Duffy,Rockferry,Winner,1,33,Wikipedia,2026-02-08
2009,51,2000,2000s,Record of the Year,Big Four,Please Read the Letter,Robert Plant & Alison Krauss,Winner,2,69,Wikipedia,2026-02-08
2009,51,2000,2000s,Song of the Year,Big Four,Guy BerrymanJonny BucklandWill ChampionChris Martin,Viva la Vida,Winner,1,73,Wikipedia,2026-02-08
2008,50,2000,2000s,Album of the Year,Big Four,River: The Joni Letters,Herbie Hancock,Winner,1,69,Wikipedia,2026-02-08
2008,50,2000,2000s,Best New Artist,Big Four,Amy Winehouse,Amy Winehouse,Winner,2,67,Wikipedia,2026-02-08
2008,50,2000,2000s,Best Pop Vocal Album,Genre,"Amy Winehouse Mark Ronson, producer",Back to Black,Winner,1,33,Wikipedia,2026-02-08
2008,50,2000,2000s,Record of the Year,Big Four,Rehab,Amy Winehouse,Winner,2,69,Wikipedia,2026-02-08
2008,50,2000,2000s,Song of the Year,Big Four,Amy Winehouse,"Rehab"" *",Winner,1,73,Wikipedia,2026-02-08
2007,49,2000,2000s,Album of the Year,Big Four,Taking the Long Way,Dixie Chicks,Winner,2,69,Wikipedia,2026-02-08
2007,49,2000,2000s,Best New Artist,Big Four,Carrie Underwood,Carrie Underwood,Winner,1,67,Wikipedia,2026-02-08
2007,49,2000,2000s,Best Pop Vocal Album,Genre,"John Mayer Steve Jordan, producer; Michael H. Brauer, Joe Ferla & Chad Franscoviak, engineers/mixers",Continuum,Winner,1,33,Wikipedia,2026-02-08
2007,49,2000,2000s,Record of the Year,Big Four,Not Ready to Make Nice,Dixie Chicks,Winner,2,69,Wikipedia,2026-02-08
2007,49,2000,2000s,Song of the Year,Big Four,Emily RobisonMartie MaguireNatalie MainesDan Wilson,"Not Ready to Make Nice"" *",Winner,1,73,Wikipedia,2026-02-08
2006,48,2000,2000s,Album of the Year,Big Four,How to Dismantle an Atomic Bomb,U2,Winner,4,69,Wikipedia,2026-02-08
2006,48,2000,2000s,Best New Artist,Big Four,John Legend,John Legend,Winner,1,67,Wikipedia,2026-02-08
2006,48,2000,2000s,Best Pop Vocal Album,Genre,"Kelly Clarkson Clive Davis, producer; Serban Ghenea, engineer/mixer",Breakaway,Winner,1,33,Wikipedia,2026-02-08
2006,48,2000,2000s,Record of the Year,Big Four,Boulevard of Broken Dreams,Green Day,Winner,1,69,Wikipedia,2026-02-08
2006,48,2000,2000s,Song of the Year,Big Four,Adam ClaytonDavid EvansLarry Mullen Jr.Paul Hewson,Sometimes You Can't Make It on Your Own,Winner,1,73,Wikipedia,2026-02-08
2005,47,2000,2000s,Album of the Year,Big Four,Genius Loves Company,Ray Charles,Winner,1,69,Wikipedia,2026-02-08
2005,47,2000,2000s,Best New Artist,Big Four,Maroon 5,Maroon 5,Winner,1,67,Wikipedia,2026-02-08
2005,47,2000,2000s,Best Pop Vocal Album,Genre,"Ray Charles & various artists John R. Burk, producer; Al Schmitt, engineer/mixer",Genius Loves Company,Winner,1,33,Wikipedia,2026-02-08
2005,47,2000,2000s,Record of the Year,Big Four,Here We Go Again,Ray Charles & Norah Jones,Winner,1,69,Wikipedia,2026-02-08
2005,47,2000,2000s,Song of the Year,Big Four,John Mayer,Daughters,Winner,1,73,Wikipedia,2026-02-08
2004,46,2000,2000s,Album of the Year,Big Four,Speakerboxxx/The Love Below,OutKast,Winner,1,69,Wikipedia,2026-02-08
2004,46,2000,2000s,Best New Artist,Big Four,Evanescence,Evanescence,Winner,1,67,Wikipedia,2026-02-08
2004,46,2000,2000s,Best Pop Vocal Album,Genre,"Justin Timberlake Chad Hugo & Pharrell Williams, producers; Serban Ghenea, engineer/mixer",Justified,Winner,1,33,Wikipedia,2026-02-08
2004,46,2000,2000s,Record of the Year,Big Four,Clocks,Coldplay,Winner,1,69,Wikipedia,2026-02-08
2004,46,2000,2000s,Song of the Year,Big Four,Richard MarxLuther Vandross,Dance with My Father,Winner,1,73,Wikipedia,2026-02-08
2003,45,2000,2000s,Album of the Year,Big Four,Come Away with Me,Norah Jones,Winner,3,69,Wikipedia,2026-02-08
2003,45,2000,2000s,Best New Artist,Big Four,Norah Jones,Norah Jones,Winner,3,67,Wikipedia,2026-02-08
2003,45,2000,2000s,Best Pop Vocal Album,Genre,"Norah Jones Arif Mardin & Jay Newland, producers; S. Husky Höskulds & Jay Newland, engineers/mixers",Come Away with Me,Winner,1,33,Wikipedia,2026-02-08
2003,45,2000,2000s,Record of the Year,Big Four,Don't Know Why,Norah Jones,Winner,3,69,Wikipedia,2026-02-08
2003,45,2000,2000s,Song of the Year,Big Four,Jesse Harris,"Don't Know Why"" *",Winner,1,73,Wikipedia,2026-02-08
2002,44,2000,2000s,Album of the Year,Big Four,"O Brother, Where Art Thou?",Various Artists,Winner,1,69,Wikipedia,2026-02-08
2002,44,2000,2000s,Best New Artist,Big Four,Alicia Keys,Alicia Keys,Winner,1,67,Wikipedia,2026-02-08
2002,44,2000,2000s,Best Pop Vocal Album,Genre,"Sade Sade Adu & Mike Pela, producers",Lovers Rock,Winner,1,33,Wikipedia,2026-02-08
2002,44,2000,2000s,Record of the Year,Big Four,Walk On,U2,Winner,4,69,Wikipedia,2026-02-08
2002,44,2000,2000s,Song of the Year,Big Four,Alicia Keys,Fallin,Winner,1,73,Wikipedia,2026-02-08
2001,43,2000,2000s,Album of the Year,Big Four,Two Against Nature,Steely Dan,Winner,1,69,Wikipedia,2026-02-08
2001,43,2000,2000s,Best New Artist,Big Four,Shelby Lynne,Shelby Lynne,Winner,1,67,Wikipedia,2026-02-08
2001,43,2000,2000s,Best Pop Vocal Album,Genre,"Steely Dan Walter Becker & Donald Fagen, producers; Phil Burnett, Roger Nichols, Dave Russell & Elliot Scheiner, engineers/mixers",Two Against Nature,Winner,1,33,Wikipedia,2026-02-08
2001,43,2000,2000s,Record of the Year,Big Four,Beautiful Day,U2,Winner,4,69,Wikipedia,2026-02-08
2001,43,2000,2000s,Song of the Year,Big Four,Adam ClaytonDavid EvansLarry Mullen Jr.Paul Hewson,"Beautiful Day"" *",Winner,1,73,Wikipedia,2026-02-08
2000,42,2000,2000s,Album of the Year,Big Four,Supernatural,Santana,Winner,1,69,Wikipedia,2026-02-08
2000,42,2000,2000s,Best New Artist,Big Four,Christina Aguilera,Christina Aguilera,Winner,1,67,Wikipedia,2026-02-08
2000,42,2000,2000s,Best Pop Vocal Album,Genre,Sting,Brand New Day,Winner,1,33,Wikipedia,2026-02-08
2000,42,2000,2000s,Record of the Year,Big Four,Smooth,Santana featuring Rob Thomas,Winner,1,69,Wikipedia,2026-02-08
2000,42,2000,2000s,Song of the Year,Big Four,Itaal ShurRob Thomas,"Smooth"" *",Winner,1,73,Wikipedia,2026-02-08
1999,41,1990,1990s,Album of the Year,Big Four,The Miseducation of Lauryn Hill,Lauryn Hill,Winner,2,69,Wikipedia,2026-02-08
1999,41,1990,1990s,Best New Artist,Big Four,Lauryn Hill,Lauryn Hill,Winner,2,67,Wikipedia,2026-02-08
1999,41,1990,1990s,Best Pop Vocal Album,Genre,Madonna,Ray of Light,Winner,1,33,Wikipedia,2026-02-08
1999,41,1990,1990s,Record of the Year,Big Four,My Heart Will Go On,Celine Dion,Winner,2,69,Wikipedia,2026-02-08
1999,41,1990,1990s,Song of the Year,Big Four,James HornerWill Jennings,"My Heart Will Go On"" *",Winner,1,73,Wikipedia,2026-02-08
1998,40,1990,1990s,Album of the Year,Big Four,Time Out of Mind,Bob Dylan,Winner,1,69,Wikipedia,2026-02-08
1998,40,1990,1990s,Best New Artist,Big Four,Paula Cole,Paula Cole,Winner,1,67,Wikipedia,2026-02-08
1998,40,1990,1990s,Best Pop Vocal Album,Genre,James Taylor,Hourglass,Winner,1,33,Wikipedia,2026-02-08
1998,40,1990,1990s,Record of the Year,Big Four,Sunny Came Home,Shawn Colvin,Winner,1,69,Wikipedia,2026-02-08
1998,40,1990,1990s,Song of the Year,Big Four,Shawn ColvinJohn Leventhal,"Sunny Came Home"" *",Winner,1,73,Wikipedia,2026-02-08
1997,39,1990,1990s,Album of the Year,Big Four,Falling into You,Celine Dion,Winner,2,69,Wikipedia,2026-02-08
1997,39,1990,1990s,Best New Artist,Big Four,LeAnn Rimes,LeAnn Rimes,Winner,1,67,Wikipedia,2026-02-08
1997,39,1990,1990s,Best Pop Vocal Album,Genre,Celine Dion,Falling into You,Winner,1,33,Wikipedia,2026-02-08
1997,39,1990,1990s,Record of the Year,Big Four,Change the World,Eric Clapton,Winner,3,69,Wikipedia,2026-02-08
1997,39,1990,1990s,Song of the Year,Big Four,Gordon KennedyWayne KirkpatrickTommy Sims,"Change the World"" *",Winner,1,73,Wikipedia,2026-02-08
1996,38,1990,1990s,Album of the Year,Big Four,Jagged Little Pill,Alanis Morissette,Winner,1,69,Wikipedia,2026-02-08
1996,38,1990,1990s,Best New Artist,Big Four,Hootie & the Blowfish,Hootie & the Blowfish,Winner,1,67,Wikipedia,2026-02-08
1996,38,1990,1990s,Best Pop Vocal Album,Genre,Joni Mitchell,Turbulent Indigo,Winner,1,33,Wikipedia,2026-02-08
1996,38,1990,1990s,Record of the Year,Big Four,Kiss from a Rose,Seal,Winner,1,69,Wikipedia,2026-02-08
1996,38,1990,1990s,Song of the Year,Big Four,Seal,"Kiss from a Rose"" *",Winner,1,73,Wikipedia,2026-02-08
1995,37,1990,1990s,Album of the Year,Big Four,MTV Unplugged,Tony Bennett,Winner,2,69,Wikipedia,2026-02-08
1995,37,1990,1990s,Best New Artist,Big Four,Sheryl Crow,Sheryl Crow,Winner,2,67,Wikipedia,2026-02-08
1995,37,1990,1990s,Best Pop Vocal Album,Genre,Bonnie Raitt,Longing in Their Hearts,Winner,1,33,Wikipedia,2026-02-08
1995,37,1990,1990s,Record of the Year,Big Four,All I Wanna Do,Sheryl Crow,Winner,2,69,Wikipedia,2026-02-08
1995,37,1990,1990s,Song of the Year,Big Four,Bruce Springsteen,Streets of Philadelphia,Winner,1,73,Wikipedia,2026-02-08
1994,36,1990,1990s,Album of the Year,Big Four,"José Carreras, Plácido Domingo & Luciano Pavarotti with Zubin Mehta","Tibor Rudas, producer",Winner,1,69,Wikipedia,2026-02-08
1994,36,1990,1990s,Album of the Year,Big Four,The Bodyguard,Whitney Houston,Winner,2,69,Wikipedia,2026-02-08
1994,36,1990,1990s,Best New Artist,Big Four,Toni Braxton,Toni Braxton,Winner,1,67,Wikipedia,2026-02-08
1994,36,1990,1990s,Record of the Year,Big Four,I Will Always Love You,Whitney Houston,Winner,2,69,Wikipedia,2026-02-08
1994,36,1990,1990s,Song of the Year,Big Four,Alan MenkenTim Rice,A Whole New World,Winner,1,73,Wikipedia,2026-02-08
1993,35,1990,1990s,Album of the Year,Big Four,Unplugged,Eric Clapton,Winner,3,69,Wikipedia,2026-02-08
1993,35,1990,1990s,Best New Artist,Big Four,Arrested Development,Arrested Development,Winner,1,67,Wikipedia,2026-02-08
